Time,Time Code,Country Name,Country Code,"Access to clean fuels and technologies for cooking, urban (% of urban population) [EG.CFT.ACCS.UR.ZS]","Access to electricity, urban (% of urban population) [EG.ELC.ACCS.UR.ZS]","People using at least basic drinking water services, urban (% of urban population) [SH.H2O.BASW.UR.ZS]","People using at least basic sanitation services, urban (% of urban population) [SH.STA.BASS.UR.ZS]",Urban population [SP.URB.TOTL],Urban population (% of total population) [SP.URB.TOTL.IN.ZS],Urban population growth (annual %) [SP.URB.GROW],"Access to clean fuels and technologies for cooking, rural (% of rural population) [EG.CFT.ACCS.RU.ZS]","Access to electricity, rural (% of rural population) [EG.ELC.ACCS.RU.ZS]","People using at least basic drinking water services, rural (% of rural population) [SH.H2O.BASW.RU.ZS]","People using at least basic sanitation services, rural (% of rural population) [SH.STA.BASS.RU.ZS]",Rural population [SP.RUR.TOTL],Rural population (% of total population) [SP.RUR.TOTL.ZS],Rural population growth (annual %) [SP.RUR.TOTL.ZG],Expenditure on primary education (% of government expenditure on education) [SE.XPD.PRIM.ZS],Expenditure on secondary education (% of government expenditure on education) [SE.XPD.SECO.ZS],Expenditure on tertiary education (% of government expenditure on education) [SE.XPD.TERT.ZS],"Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","Government expenditure on education, total (% of government expenditure) [SE.XPD.TOTL.GB.ZS]",Gross national expenditure (current US$) [NE.DAB.TOTL.CD]
2008,YR2008,Brunei Darussalam,BRN,100,100,99.65,..,285549,74.252,2.01098722,100,100,99.05,..,99019,25.748,0.136430495,..,..,..,..,..,6980406915
2008,YR2008,Bulgaria,BGR,..,95.34286499,99.72675998,86.7803838,5366322,71.622,-0.220466621,..,84.68814069,98.87693366,83.71529911,2126239,28.378,-1.906840052,18.92772,42.5014,19.40024,4.222380161,12.61225986,65231607813
2008,YR2008,Burkina Faso,BFA,18.8,49.42630386,79.46454848,45.85927334,3576677,23.534,5.256141677,1,1.167413966,46.64691947,7.09545827,11621238,76.466,2.242456573,..,..,..,..,..,10877341689
2008,YR2008,Burundi,BDI,0.6,39.6,85.69894392,42.76256151,837579,10.118,6.654543906,0.2,0.882570838,51.90603264,46.27906409,7440530,89.882,3.829901019,51.78716,24.36195,21.20969,5.192900181,12.61553955,2034136447
2008,YR2008,Cabo Verde,CPV,90.5,86.6651001,89.20833355,67.09857607,307192,60.194,2.494126651,30.9,50.60672883,71.16310311,40.6009428,203144,39.806,-0.962158251,36.32377,36.5733,11.27392,5.518000126,18.24098969,2396331535
2008,YR2008,Cambodia,KHM,38.1,87,84.9135843,68.48825431,2728958,19.571,2.467234865,2.9,11.65404485,57.6591031,22.94338176,11214930,80.429,1.460384654,..,..,..,..,..,10734450670
2008,YR2008,Cameroon,CMR,34.3,83.53419495,82.42300681,55.99528194,9454260,50.35,4.04382685,1.9,17.10496658,39.69808001,23.47570366,9322821,49.65,1.627795577,32.55445,54.08651,8.85137,2.498270035,15.70061016,28521011370
2008,YR2008,Canada,CAN,100,100,99.44033093,99.74582992,26789863,80.578,1.309029905,100,100,98.38866864,99.20843516,6457255,19.422,0.150191984,..,..,34.44431,4.62612009,12.00996017,1.52586E+12
2008,YR2008,Cayman Islands,CYM,..,100,96.125,83.654025,51123,100,2.929652809,..,100,..,..,0,0,..,..,..,..,..,..,..
2008,YR2008,Central African Republic,CAF,1,11.86,69.41992847,35.01807238,1720153,38.506,2.507944079,0,4.737353211,37.5168729,8.499967227,2747080,61.494,1.802035871,..,25.91333,17.48191,1.290009975,7.860000134,2241194488
2008,YR2008,Chad,TCD,8.3,19.61787415,75.1545245,26.86776012,2430718,21.901,3.596653239,0.7,2.039546257,32.81872802,5.492269121,8667946,78.099,3.40364772,..,..,..,..,..,9863816375
2008,YR2008,Channel Islands,CHI,..,100,..,..,47778,30.929,1.013955718,..,100,..,..,106697,69.071,0.722398333,..,..,..,..,..,..
2008,YR2008,Chile,CHL,100,99.5447464,99.50534163,98.04205026,14488641,86.959,1.068716339,100,89.58054885,86.7857902,83.68487908,2172821,13.041,0.549458017,36.4039,37.86879,14.51448,3.792429924,17.40113068,1.76702E+11
2008,YR2008,China,CHN,78.3,99.95439148,98.0032669,84.63741362,616481190,46.539,3.433957689,29.3,97.77999763,77.35798522,60.66972871,708173810,53.461,-1.963215611,..,..,..,3.630000114,14.30000019,4.22874E+12
2008,YR2008,Colombia,COL,96.9,99.713281,98.89274426,86.58981614,33827174,77.204,1.671704636,40.6,86.96315849,78.40873273,68.40786353,9988139,22.796,-0.519854616,37.30254,40.22582,22.04587,3.938780069,13.8549099,2.49654E+11
2008,YR2008,Comoros,COM,5.1,78.03772736,88.96910795,45.70757319,175534,27.886,2.08558553,1,49.98325139,83.51498152,29.16672483,453936,72.114,1.990890343,61.72591,23.66377,14.60796,4.42264986,29.23311996,1096738314
2008,YR2008,"Congo, Dem. Rep.",COD,8.7,34.5655365,69.2886976,23.30101884,24262452,38.976,4.506475852,0.1,..,18.65427281,18.8273861,37987272,61.024,2.373982564,..,..,..,..,..,20919764289
2008,YR2008,"Congo, Rep.",COG,22.6,53.83522034,85.74705855,20.50267126,2549703,62.346,4.042328574,2,8.595181739,27.38229699,5.97398572,1539899,37.654,2.117264214,..,..,..,..,..,10054135837
2008,YR2008,Costa Rica,CRI,97.7,99.924095,99.46781343,97.29421228,3123883,69.39,3.152490142,79.7,97.76742068,93.10575136,91.31362292,1378038,30.61,-2.511097082,39.53444,30.99024,20.90153,4.886970043,20.81096077,33508784386
2008,YR2008,Cote d'Ivoire,CIV,35,88.77,88.85405465,41.82055098,9411847,46.491,3.038019087,1.6,35.56399621,56.01194155,11.20131989,10832602,53.509,1.348667281,43.09156,31.28736,23.77474,3.098530054,21.52691078,34048688685
2008,YR2008,Croatia,HRV,100,100,100,97.67670684,2362537,54.819,0.295033356,100,100,..,94.67821058,1947168,45.181,-0.3830024,..,..,21.9574,4.252130032,9.339429855,75269616343
2008,YR2008,Cuba,CUB,93.7,99.69259644,97.1203555,91.28313667,8616795,76.413,0.181403517,73.6,89.69264669,85.02397074,80.5233276,2659814,23.587,-0.333863934,25.47863,29.38358,..,14.05908012,..,58431481481
2008,YR2008,Curacao,CUW,..,99.5849762,..,..,131527,90.161,1.118551673,..,100,..,..,14353,9.839,2.547324187,..,..,..,..,..,..
2008,YR2008,Cyprus,CYP,100,100,99.81677208,99.68383901,741066,67.839,1.499036299,100,100,99.89717448,99.47077931,351324,32.161,2.155280023,27.78074,42.47892,24.98685,6.722760201,17.59074974,31398382891
2008,YR2008,Czechia,CZE,100,100,99.89029588,99.09105421,7621676,73.394,0.735450035,100,100,99.72072696,99.26753944,2762927,26.606,1.089071809,14.70676,48.32721,23.70898,3.727190018,9.119939804,2.317E+11
2008,YR2008,Denmark,DNK,100,100,100,99.59718026,4751268,86.487,0.812104326,100,100,100,99.59758551,742353,13.513,-0.837858836,24.08552,35.89463,28.30347,7.4760499,14.83026028,3.40909E+11
2008,YR2008,Djibouti,DJI,6.8,62.33827591,82.85960597,63.79205021,678931,76.899,2.083923433,0.8,40.86402618,51.34653137,14.24909333,203955,23.101,1.824790505,..,..,..,..,..,..
2008,YR2008,Dominica,DMA,97.3,..,..,..,46429,67.502,0.453329504,68.2,..,..,..,22353,32.498,-0.904056571,..,..,..,..,..,588777777.8
2008,YR2008,Dominican Republic,DOM,95.5,99.572317,97.25431382,84.93045892,6789862,71.3,3.087549073,69.8,92.61719486,85.21052509,72.88079168,2733086,28.7,-3.087314829,..,..,..,..,..,54656967597
2008,YR2008,Ecuador,ECU,99.1,99.586687,95.21948594,84.54124761,9031505,62.3,2.01930925,81.6,93.27339468,76.32668836,67.42283639,5465292,37.7,1.185657364,..,..,..,..,..,61595671000
2008,YR2008,"Egypt, Arab Rep.",EGY,99.2,99.9,99.38677265,96.78453053,36101887,43.058,1.911946429,97.8,99.7243827,97.90125853,91.3940006,47742896,56.942,1.993511233,..,..,..,3.760829926,10.94180012,1.71927E+11
2008,YR2008,El Salvador,SLV,91.9,96.485463,96.11436314,88.96141485,3864044,63.678,1.825574156,42.7,81.38377312,71.38884348,73.8075177,2204055,36.322,-2.062603726,37.99142,22.04623,..,4.458109856,18.16251945,22876570000
2008,YR2008,Equatorial Guinea,GNQ,33.7,92.74382782,72.65038053,67.77680952,624295,62.745,7.40691599,5.1,18.92822569,33.81912442,52.74769907,370676,37.255,0.429055831,..,..,..,..,..,9922209496
2008,YR2008,Eritrea,ERI,18.9,77.66176605,89.99405463,23.77046189,1021965,34,5.618101771,0.6,17.24933753,28.86473427,4.16941947,1983814,66,1.205892424,..,..,..,..,..,1679737203
2008,YR2008,Estonia,EST,100,100,99.98545421,99.47404102,913914,68.351,-0.455241458,100,100,99.24411581,99.35851445,423176,31.649,0.137152824,25.51536,41.36166,19.87099,5.484039783,13.90087986,25165194082
2008,YR2008,Eswatini,SWZ,75.7,67.98937988,91.35150708,60.4693947,240262,22.045,1.524070684,20,35.46974881,51.43805302,52.81574809,849608,77.955,0.262583033,33.62956,33.52014,21.55277,6.618120193,21.81324005,3556162207
2008,YR2008,Ethiopia,ETH,8.1,84.04941559,78.81207058,17.59355991,13927358,16.51,5.254001728,0.4,9.72989027,21.41925372,2.905733145,70429747,83.49,2.367828612,..,..,..,5.408199787,26.35573006,..
2008,YR2008,Faroe Islands,FRO,..,100,..,..,19624,40.536,0.58774094,..,100,..,..,28787,59.464,-0.22554183,..,..,..,..,..,2777370857
2008,YR2008,Fiji,FJI,48.8,96.47,98.49344574,92.30246158,458642,51.146,1.641244203,12.5,75.36630507,89.88690825,81.08455252,438089,48.854,-0.315192025,..,..,..,4.25357008,17.36972046,4113258455
2008,YR2008,Finland,FIN,100,100,100,99.44700461,4426008,83.299,0.622924638,100,100,100,99.45363329,887391,16.701,-0.315708964,20.36713,42.79625,31.00429,5.83010006,12.17766953,2.74669E+11
2008,YR2008,France,FRA,100,100,100,98.59013092,50131182,77.868,0.875272982,100,100,99.82332815,98.89224572,14248514,22.132,-0.552291217,..,..,..,..,..,2.96425E+12
2008,YR2008,French Polynesia,PYF,..,100,..,..,165995,59.166,1.838539655,..,100,..,..,114563,40.834,-0.560562028,..,..,..,..,..,..
2008,YR2008,Gabon,GAB,88.2,93.80960846,90.00333252,43.15154624,1349725,84.359,3.922109842,26.2,18.29507637,43.11005022,35.31861265,250253,15.641,-0.680587635,..,..,..,..,..,10059005156
2008,YR2008,"Gambia, The",GMB,4.5,61.54045868,85.06122898,46.08939997,986934,54.211,4.460730685,0.9,17.66702592,66.88433738,46.14304237,833608,45.789,1.52328503,61.13542,29.03064,9.03216,2.181299925,18.88171005,1771331112
2008,YR2008,Georgia,GEO,91.7,100,98.89550451,93.57383733,2107603,54.765,0.403545544,26.7,100,89.95877857,81.51718481,1740846,45.235,-1.15350452,35.99981,36.96946,11.5767,2.919549942,8.937600136,16963738506
2008,YR2008,Germany,DEU,100,100,100,99.29364279,62875807,76.575,0.067452495,100,100,100,98.99193548,19234290,23.425,-1.02760728,13.49708,46.03146,26.65244,4.435949802,10.03619957,3.51779E+12
2008,YR2008,Ghana,GHA,24.7,84.8,84.4058089,18.52450879,12005167,49.351,3.963903055,3.1,36.82274553,60.64938944,7.633272484,12320920,50.649,1.234789564,34.57418,33.96207,25.8532,5.757959843,24.03750038,34259052624
2008,YR2008,Gibraltar,GIB,..,99.65306854,100,100,30398,100,1.331277734,..,..,..,..,0,0,..,..,..,..,..,..,..
2008,YR2008,Greece,GRC,100,100,99.97398432,98.92160814,8371303,75.568,0.754959747,100,100,99.55480552,96.65453861,2706538,24.432,-1.233576699,..,..,..,..,..,4.00777E+11
2008,YR2008,Greenland,GRL,..,100,100,99.59718026,47196,83.787,-0.036013516,..,100,100,99.59758551,9132,16.213,-2.273563341,..,..,..,..,..,3334163158
2008,YR2008,Grenada,GRD,94.9,..,..,..,40354,35.877,0.656359574,92.4,..,..,..,72124,64.123,0.680307857,..,..,..,..,..,..
2008,YR2008,Guam,GUM,..,100,..,..,154703,93.916,0.076951185,..,100,..,..,10022,6.084,-1.554409793,..,..,..,..,..,..
2008,YR2008,Guatemala,GTM,62,94.6299057,96.18834981,80.19698747,6568347,47.807,2.554851746,12.1,70.21590056,83.47235233,50.40735009,7170952,52.193,1.35620066,59.78975,12.81905,10.79647,3.236860037,23.34815979,44884909677
2008,YR2008,Guinea,GIN,1.3,68.54978943,82.46043771,29.35947074,3237696,33.106,3.269765247,0.4,4.048768785,50.22486927,9.274865803,6542089,66.894,1.984530876,40.79846,13.99005,34.42411,1.581120014,15.67825985,8419924012
2008,YR2008,Guinea-Bissau,GNB,2.7,26.28001213,75.75774186,21.14514714,585325,39.325,3.575576246,0.1,..,46.21930712,2.427348834,903106,60.675,1.934196801,..,..,..,..,..,980501023.3
2008,YR2008,Guyana,GUY,71.8,88.3822937,96.52381013,87.52883251,204412,27.105,-1.188533399,50.2,75.66981221,89.8935116,80.57564314,549738,72.895,0.013279935,..,..,..,..,..,..
2008,YR2008,Haiti,HTI,6.8,70.41584778,84.72132514,34.86855081,4361621,45.551,3.794045886,1,7.367654486,41.57757695,16.90290026,5213626,54.449,-0.15257957,..,..,..,..,..,12369562725
2008,YR2008,Honduras,HND,68.5,97.960649,97.23971142,80.33227374,4096745,50.566,3.528725238,13.7,54.33935115,81.86963333,63.28856932,4005032,49.434,0.884618293,..,..,..,..,..,18476362945
2008,YR2008,"Hong Kong SAR, China",HKG,..,100,99.41440473,96.66234622,6957800,100,0.598238787,..,100,..,..,0,0,..,21.39712,34.05481,30.84998,3.260629892,22.92239952,1.9697E+11
2008,YR2008,Hungary,HUN,100,100,100,97.75510204,6820246,67.943,0.596165591,100,100,99.90004412,98.56985699,3217942,32.057,-1.790342422,16.89833,41.45747,20.01192,4.966110229,10.27056026,1.58268E+11
2008,YR2008,Iceland,ISL,100,100,100,98.7012987,296449,93.395,1.98483023,100,100,100,100,20965,6.605,0.104991897,33.41234,31.9235,19.70401,7.036019802,11.10029984,18451876980
2008,YR2008,India,IND,66.6,93.55664825,93.01828589,60.02985538,364989009,30.246,2.552873022,12.4,65.68992216,81.05919126,26.731162,841745797,69.754,0.936148347,..,..,..,..,..,1.26649E+12
2008,YR2008,Indonesia,IDN,47.6,97.5202713,92.43834203,70.89632605,115006628,48.335,2.971135604,14.7,88.24847937,73.59240874,42.80959012,122929915,51.665,-0.234400248,49.04317,25.25953,10.97822,2.901900053,13.67475033,4.94214E+11
2008,YR2008,"Iran, Islamic Rep.",IRN,98.7,99.78411865,98.28274468,90.09224528,50925490,69.458,2.230755669,91.2,96.58028256,89.82977682,69.89046599,22392904,30.542,-0.554306605,27.86351,48.88658,20.6675,3.913759947,22.38460922,3.85413E+11
2008,YR2008,Iraq,IRQ,96,99.45859528,95.91994997,84.26716015,20139353,68.927,2.00483327,86,94.5809441,70.29552251,69.77879098,9079028,31.073,1.752837692,..,..,..,..,..,83040388364
2008,YR2008,Ireland,IRL,100,100,97.00007196,88.72421157,2744952,61.141,2.368003848,100,100,97.74123887,92.90376095,1744592,38.859,1.522777221,35.95779,34.85668,23.25964,5.458280087,13.13430977,2.52588E+11
2008,YR2008,Isle of Man,IMN,..,100,..,..,42604,51.958,1.135423578,..,100,..,..,39393,48.042,1.061640697,..,..,..,..,..,..
2008,YR2008,Israel,ISR,100,100,100,100,6702316,91.702,1.843131099,100,100,100,100,606484,8.298,1.044040614,37.8556,28.98581,15.99683,5.519949913,13.17718983,2.21764E+11
2008,YR2008,Italy,ITA,100,100,..,99.87931521,40056298,68.092,0.835914949,100,100,..,99.89949749,18770433,31.908,0.293337281,25.23137,44.59292,18.3255,4.387949944,9.173359871,2.42714E+12
2008,YR2008,Jamaica,JAM,96.7,99.5,96.76016935,83.53592913,1447087,53.371,0.726152615,71.8,83.41558753,86.49753626,85.03238213,1264286,46.629,-0.025149374,30.2266,42.63241,15.71206,6.191319942,19.11938095,17779830990
2008,YR2008,Japan,JPN,100,100,..,..,114107975,89.103,1.128273231,100,100,..,..,13955025,10.897,-8.369362562,..,..,..,3.27241993,..,5.08924E+12
2008,YR2008,Jordan,JOR,99.9,100,99.31186275,98.15377928,5551184,83.692,4.023776286,99.5,100,97.43348677,97.13030269,1081689,16.308,-5.356188954,..,..,..,3.670000076,11.63000011,29188356137
2008,YR2008,Kazakhstan,KAZ,97.6,100,97.8593981,96.79199555,8942684,56.682,2.001836656,80.7,100,86.58195912,97.86815711,6834254,43.318,1.704579013,..,..,13.8967,2.589459896,13.64694023,1.09565E+11
2008,YR2008,Kenya,KEN,17,63.83309174,86.92181762,35.54410928,8934612,22.8,4.659556205,1.3,20.3706103,43.27043667,30.47090559,30252283,77.2,2.487824887,..,..,..,..,..,39705154875
2008,YR2008,Kiribati,KIR,4.3,90.68915558,84.18974687,51.72479975,47519,45.706,3.767557865,0.6,51.54549111,53.55391178,28.77783325,56447,54.294,0.374502359,..,..,..,..,..,240206009.4
2008,YR2008,"Korea, Dem. People's Rep.",PRK,6.9,..,98.49479778,82.24340269,14691216,60.04,0.590992995,1,..,96.62781962,68.15576928,9777831,39.96,0.265984935,..,..,..,..,..,..
2008,YR2008,"Korea, Rep.",KOR,100,100,..,..,40093884,81.733,0.884188822,100,100,..,..,8960824,18.267,0.20249655,..,..,..,..,..,1.04995E+12
2008,YR2008,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7376226747
2008,YR2008,Kuwait,KWT,100,100,..,..,2650930,100,5.59158489,100,100,..,..,0,0,..,..,..,..,2.769999981,5.860000134,87196155267
2008,YR2008,Kyrgyz Republic,KGZ,91.6,99.38,96.28344225,93.0295562,1876703,35.285,0.944553023,54.2,99.58088077,77.61342695,95.40454693,3441997,64.715,0.953310203,..,..,16.44074,5.913189888,21.2062397,7144962885
2008,YR2008,Lao PDR,LAO,8.3,99,84.88094767,79.85409824,1772834,28.893,3.569545858,0.7,52.59107037,55.34100346,39.51679732,4363027,71.107,0.744150896,..,..,..,2.27854991,13.00520992,6292865496
2008,YR2008,Latvia,LVA,100,99.57421875,98.79044944,95.2235887,1476965,67.834,-1.148183625,100,99.88457964,96.84041322,77.627051,700357,32.166,-0.845553468,26.67222,40.63561,17.33077,5.366449833,14.76309967,40393943868
2008,YR2008,Lebanon,LBN,..,100,..,..,4254276,87.042,1.770976438,..,99.2282761,..,..,633337,12.958,0.526538639,..,..,28.97518,2.014790058,5.86977005,37719002867
2008,YR2008,Lesotho,LSO,69.6,39.87055206,85.60038469,32.03908871,474734,23.796,2.669853477,13.8,8.562069378,63.08731094,24.3327125,1520280,76.204,-0.062994862,35.99421,20.52004,36.38363,12.32952023,24.69754982,2743816489
2008,YR2008,Liberia,LBR,0.5,3.619858265,81.5361922,27.77067056,1781757,47.088,4.814003434,0.2,..,56.51226773,4.879992265,2002130,52.912,3.424641633,..,..,..,1.701660037,6.454070091,..
2008,YR2008,Libya,LBY,..,100,..,..,4835208,77.632,2.380374404,..,33.56281348,..,..,1393162,22.368,1.260892991,..,..,..,..,..,47700060343
2008,YR2008,Liechtenstein,LIE,..,100,..,..,5159,14.574,0.330065342,..,100,..,..,30242,85.426,0.776767391,31.06497,52.38612,..,2.048369884,..,..
2008,YR2008,Lithuania,LTU,100,99.30361176,98.18069401,95.08490438,2137953,66.848,-0.922228081,100,99.71877289,83.56846084,75.25517871,1060278,33.152,-1.242394054,14.91504,51.86274,21.20481,4.839900017,13.0529604,53345142690
2008,YR2008,Luxembourg,LUX,100,100,100,97.49419224,429035,87.8,2.233910796,100,100,100,98.79696149,59615,12.2,-1.367773362,..,..,..,..,..,40734337614
2008,YR2008,"Macao SAR, China",MAC,..,100,100,100,529038,100,2.625279077,..,100,..,..,0,0,..,..,..,36.63607,2.196409941,10.44556999,14133970878
2008,YR2008,Madagascar,MDG,2.1,56.41521454,74.28197307,13.39038141,6291521,30.67,4.977025639,0.7,1.382007495,28.66009176,4.890739611,14222078,69.33,2.011183808,53.57201,22.07921,15.36154,2.554339886,16.25814056,12756795298
2008,YR2008,Malawi,MWI,11,35.50382614,85.90853585,32.82274295,2128693,15.326,3.472929194,0.6,2.822773759,55.9261399,21.55385056,11760730,84.674,2.769994326,..,..,..,..,..,..
2008,YR2008,Malaysia,MYS,99.3,99.43107605,99.24022426,99.18979197,19150609,69.225,3.345607402,94.9,97.97448765,91.92751476,96.83487124,8513687,30.775,-0.683763968,39.06479,28.2341,..,3.958519936,14.03864002,1.7927E+11
2008,YR2008,Maldives,MDV,98.6,99.3792572,98.25492856,95.30799217,119964,35.61,4.710607739,84,90.3275076,95.72885388,79.81723486,216919,64.39,2.917412433,50.35274,39.90137,..,4.470290184,12.56846046,..
